title,description,url,img_url,publication_date,publisher
Del Piero'dan Kenan Yıldız'a övgü: 10 numarayı ona verirdim,"Juventus'un efsane oyuncularından Alessandro Del Piero, Kenan Yıldız hakkında konuştu.",https://www.ensonhaber.com/kralspor/futbol/del-pierodan-kenan-yildiza-ovgu-10-numarayi-ona-verirdim,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a248b56869770.jpg,2024-04-13 09:22:37+03:00,ensonhaber
Antalya'daki teleferik kazası için soruşturma başlatıldı,"Adalet Bakanı Yılmaz Tunç, Antalya'daki teleferik kazasıyla ilgili Antalya Cumhuriyet Başsavcılığınca olayın nedeni ve sorumlularının tespiti içini adli soruşturma başlatıldığını bildirdi.",https://www.ensonhaber.com/gundem/antalyadaki-teleferik-kazasi-icin-sorusturma-baslatildi,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a24409ea42909.jpg,2024-04-13 09:19:09+03:00,ensonhaber
Yunanistan: Türkiye'yle sorunları bir gecede çözeceğimize inanmıyoruz,"Dışişleri Bakanı Gerapetritis, Bölgemizde sükunete kavuşmamız gerektiğini anlamalıyız dedi. Yunan Bakan, sorunların çözümü için bir süreç gerektiğini ifade etti.",https://www.ensonhaber.com/dunya/yunanistan-turkiyeyle-sorunlari-bir-gecede-cozecegimize-inanmiyoruz,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a202c341a7130.jpg,2024-04-13 09:17:38+03:00,ensonhaber
"Bugün toplu taşıma ücretsiz mi, bitti mi? 13 Nisan metro, metrobüs, marmaray...","Bayram vesilesiyle 3 günlük ücretsiz olarak toplu taşıma kullanan vatandaşlar, cumartesi günü için de sorgulama yapıyor. Bayramın bitişi ile birlikte Bugün toplu taşıma ücretsiz mi, bitti mi sorusu gündemde yer alıyor. Peki, 13 Nisan Cumartesi toplu taşıma bedava mı, ücretli mi? İşte detaylar...",https://www.ensonhaber.com/bilgi/bugun-toplu-tasima-ucretsiz-mi-bitti-mi-12-nisan-metro-metrobus-marmaray,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a23114fa8d991.jpg,2024-04-13 09:16:35+03:00,ensonhaber
Tayland'da siyasetçi eşini evlatlık edindiği keşişle bastı,"Tayland'da 64 yaşındaki bir iş insanı, milletvekili olan 45 yaşındaki eşini evlat edindiği genç bir keşişle bastı. Söz konusu görüntüler ülkede deprem etkisi yarattı.",https://www.ensonhaber.com/dunya/taylandda-siyasetci-esini-evlatlik-edindigi-kesisle-basti,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a21961d6e0776.jpg,2024-04-13 09:12:13+03:00,ensonhaber
"NASA, Ay'ın önünden gizemli bir cismin geçtiğini görüntüledi","NASA, Ay'ın önünden sörf tahtasına benzeyen bir cismin geçtiğini görüntüledi. Çok geçmeden cismin ne olduğu anlaşıldı.",https://www.ensonhaber.com/teknoloji/nasa-ayin-onunden-gizemli-bir-cismin-gectigini-goruntuledi,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a1e779232d776.jpg,2024-04-13 09:00:47+03:00,ensonhaber
"Optik İllüzyon: Kamuflajı aşın, saklı kurbağayı şıp diye bulun",Optik Yanılsama: Bu resimde açıkça görülebilen bir kurbağa gizlenmiştir. Sadece en dikkatli gözler kurbağayı 6 saniyede fark edebilir. Yapabilir misin? Şimdi becerilerinizi test edin!,https://www.ensonhaber.com/bilgi/optik-illuzyon-kamuflaji-asin-sakli-kurbagayi-sip-diye-bulun,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a1eb6a0a6d842.jpg,2024-04-13 08:58:52+03:00,ensonhaber
Anadolu Otoyolu'nda emniyet şeridini kullanan araçlara rekor ceza,"Anadolu Otoyolu'nda dönüş yoğunluğu yaşanırken, yoğunluktan kaçıp emniyet şeridine girdiği tespit edilen 87 araca 6 bin 440’ar lira ceza yazıldı. Toplamda 560 bin 280 lira ceza kesildi.",https://www.ensonhaber.com/ic-haber/anadolu-otoyolunda-emniyet-seridini-kullanan-araclara-rekor-ceza,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/6619e0c01ca56545.jpg,2024-04-13 08:55:52+03:00,ensonhaber
"Yunanistan Başbakanı Miçotakis: Ada sakinleri, Türk turistler geldiği için çok sevinçli","Yunanistan Başbakanı Miçotakis, kapıda vize uygulaması sayesinde Türk turistlerin Yunan adalarına rahatça gelebildiğini ve ada sakinlerinin bu gelişmeden çok mutlu olduğunu söyledi.",https://www.ensonhaber.com/gundem/yunanistan-basbakani-micotakis-ada-sakinleri-turk-turistler-geldigi-icin-cok-sevincli,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a2000ba719532.jpg,2024-04-13 08:55:10+03:00,ensonhaber
2024 Skoda Octavia seri üretime girdi: İşte özellikleri,"Dış tasarımı ve iç mekanı yenilenen 2024 Skoda Octavia'nın üretimi başladı. Otomobil, ilk etapta benzinli ve dizel versiyonlarıyla satılacak.",https://www.ensonhaber.com/otomobil/2024-skoda-octavia-seri-uretime-girdi-iste-ozellikleri,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a1ced84961277.jpg,2024-04-13 08:52:51+03:00,ensonhaber
"İran, İsrail saldırısına karşı 100'den fazla seyir füzesi hazırladı","Tahran'ın İsrail'e saldırı misillemesi yapabileceği belirtiliyor. ABD basını, atılan adımla ilgili ayrıntıyı paylaştı.",https://www.ensonhaber.com/dunya/iran-israil-saldirisina-karsi-100den-fazla-seyir-fuzesi-hazirladi,https://icdn.ensonhaber.com/crop/1200x675/resimler/diger/kok/2024/04/13/661a1b10a0750284.jpg,2024-04-13 08:49:02+03:00,ensonhaber
