title,description,url,img_url,publishing_date,publisher
Ben Bu Cihana Sığmazam’da Cezayir'in husumetlisi geliyor! TRT1'de kasırgalar çıkarmıştı,"Haber 7 - Başarılı oyuncu Murat Han’ın Kudüs Fatihi Selahaddin Eyyubi’den ayrıldıktan sonraki adresi netlik kazandı. Birbirinden iddialı projelerde yer alan Murat Han, verdiği çok kısa bir aranın ardından Ben Bu Cihana Sığmazam’la dönüyor.",https://www.haber7.com/medya/haber/3413954-ben-bu-cihana-sigmazamda-cezayirin-husumetlisi-geliyor-trt1de-kasirgalar-cikarmisti,https://i12.haber7.net//haber/haber7/og_image/2024/15/ben_bu_cihana_sigmazamda_cezayire_yeni_dusman_geliyor_trt1_dizisinin_unutulmaz_ismiydi_1712732380_4135.jpg,2024-04-13 09:21:00+03:00,haber7
Moda ikonu Roberto Cavalli hayatını kaybetti,"Haber 7 - Son dakika haberine göre Dünyaca ünlü İtalyan moda tasarımcısı ve iş insanı Roberto Cavalli'nin, 83 yaşında Floransa'da yaşamını yitirdiği bildirildi.",https://www.haber7.com/dunya/haber/3414713-moda-ikonu-roberto-cavalli-hayatini-kaybetti,https://i12.haber7.net//haber/haber7/og_image/2024/15/italyan_moda_tasarimcisi_roberto_cavalli_hayatini_kaybetti_1712988479_6915.jpg,2024-04-13 09:09:00+03:00,haber7
Teşkilat ve Kurtlar Vadisi'nden Marnalı'ya ses getiren transfer! Ali Reşat rolünü kaptı,"Haber 7 - Teşkilat, Uyanış Büyük Selçuklu, Payitaht Abdülhamid, Mehmed Bir Cihan Fatihi gibi TRT1'in birbirinden kaliteli projelerinde boy gösteren Gürkan Uygun'un yeni adresi belli oldu.",https://www.haber7.com/medya/haber/3412266-teskilat-ve-kurtlar-vadisinden-marnaliya-ses-getiren-transfer-ali-resat-rolunu-kapti,https://i20.haber7.net/resize/1280x720//haber/haber7/photos/2024/14/teskilat_ve_kurtlar_vadisinden_marnaliya_dev_transfer_mafya_dizisiyle_geri_donuyor_1712161594_4614.jpg,2024-04-13 09:07:00+03:00,haber7
İŞKUR KPSS şartsız büro personeli alacak! En az lise mezunu 18-50 yaş arası kadın-erkek...,Haber 7 - Türkiye İş Kurumu (İŞKUR) aracılığı ile özel şirketlere ve kurumlara sınavsız ve KPSS şartsız 1120 kişilik büro memuru alımı yapılacak. Başvuru yapacak adayların 18 yaşını tamamlamış olmaları ve en az ortaöğretim mezunu olmaları gerekmektedir. Peki İŞKUR başvurusu nasıl yapılır?,https://www.haber7.com/memur/haber/3414478-iskur-kpss-sartsiz-buro-personeli-alacak-en-az-lise-mezunu-18-50-yas-arasi-kadin-erkek,https://i12.haber7.net//haber/haber7/og_image/2024/15/iskur_kpss_sartsiz_980_buro_memuru_alimi_18_50_yas_arasi_kadin_erkek_personel_1712906766_1587.JPG,2024-04-13 09:05:00+03:00,haber7
"Kitapyurdu Türkiye Okur Ödülleri, 2023 yılının en iyi kitaplarını belirledi","Haber 7 - Kitap kurtları, yazarlar ve sektör tarafından sonucu merakla beklenen Kitapyurdu Türkiye Okur Ödülleri'nin kazananları belli oldu.",https://www.haber7.com/kitap/haber/3414615-kitapyurdu-turkiye-okur-odulleri-2023-yilinin-en-iyi-kitaplarini-belirledi,https://i12.haber7.net//haber/haber7/og_image/2024/15/kitapyurdu_turkiye_okur_odulleri_2023_yilinin_en_iyi_kitaplarini_belirledi_1712929659_1366.jpg,2024-04-13 09:04:00+03:00,haber7
İlk kirazın kilosu 2 bin lira,Ekonomi - Erkenci kirazın üretim merkezi Manisa'da sezonun ilk hasadı yapıldı. İlk kirazların kilosu 2 bin liradan alıcı buldu.,https://ekonomi.haber7.com/ekonomi/haber/3414710-ilk-kirazin-kilosu-2-bin-lira,https://i12.haber7.net//haber/haber7/og_image/2024/15/ilk_kirazin_kilosu_2_bin_lira_1712988208_6246.jpg,2024-04-13 09:04:00+03:00,haber7
Antalya'daki teleferik kazasında son durum: Kurtarma çalışmaları devam ediyor!,"Haber 7 - Son dakika haberi... İçişleri Bakanı Ali Yerlikaya, Antalya'daki teleferik kazasında kurtarma çalışmalarının aralıksız sürdüğünü ve asılı kalan 15 kabindeki 98 kişinin başarıyla tahliye edildiğini açıkladı.",https://www.haber7.com/guncel/haber/3414702-antalyadaki-teleferik-kazasinda-son-durum-kurtarma-calismalari-devam-ediyor,https://i20.haber7.net/resize/1280x720/haber/haber7/bigmanset/2024/15/antalyadaki_teleferik_kazasinda_son_durum_kurtarma_calismalari_devam_ediyor_1712986340_7927.jpg,2024-04-13 08:58:00+03:00,haber7
Kuruluş Osman’a Kanatsız Kuşlar’ın sevilen siması geliyor! Asıl aksiyon şimdi başlıyor,"Haber 7 - Uzun yıllar önce ATV’nin iddialı dizisi Kanatsız Kuşlar’la akıllarda yer edinen Ümit Kantarcılar’ın yeni projesi hayranlarını heyecanlandırdı. Son olarak Kazara Aşk dizisiyle isminden bahsettiren Ümit Kantarcılar, Kuruluş Osman’ın atmosferini değiştirmeye geliyor.",https://www.haber7.com/medya/haber/3414248-kurulus-osmana-kanatsiz-kuslarin-sevilen-simasi-geliyor-asil-aksiyon-simdi-basliyor,https://i12.haber7.net//haber/haber7/og_image/2024/15/kurulus_osmana_kanatsiz_kuslarin_sevilen_simasi_geliyor_asil_aksiyon_simdi_basliyor_1712829278_5329.jpg,2024-04-13 08:54:00+03:00,haber7
THY uçağı bomba ihbarı nedeniyle Bükreş'e zorunlu iniş yaptı,"Haber 7 - Türk Hava Yolları'nın (THY) Varşova-İstanbul seferini gerçekleştiren yolcu uçağı, bomba ihbarının ardından Romanya'nın başkenti Bükreş'e zorunlu iniş yaptı.",https://www.haber7.com/guncel/haber/3414709-thy-ucagi-bomba-ihbari-nedeniyle-bukrese-zorunlu-inis-yapti,https://i12.haber7.net//haber/haber7/og_image/2024/15/thy_ucagi_bomba_ihbari_nedeniyle_bukrese_zorunlu_inis_yapti_1712987498_4976.jpg,2024-04-13 08:52:00+03:00,haber7
Denizli'de tır otomobile çarptı: Aynı aileden 6 yaralı,"Haber 7 - Denizli'nin Sarayköy ilçesinde refüjü aşıp karşı şeride geçen tırın çarptığı otomobilde, aynı aileden biri ağır 6 kişi yaralandı.",https://www.haber7.com/guncel/haber/3414708-denizlide-tir-otomobile-carpti-ayni-aileden-6-yarali,https://i12.haber7.net//haber/haber7/og_image/2024/15/denizlide_tir_otomobile_carpti_ayni_aileden_6_yarali_1712987318_4779.jpg,2024-04-13 08:50:00+03:00,haber7
