title,description,url,img_url,publishing_date,publisher
Antalya'da teleferik kazası: 98 kişi kurtarıldı,Antalya'da teleferik kabininin düşmesi sonucu  1 kişinin hayatını kaybettiği 7 kişin yaralandığı kazada kabinlerde kalan 98 kişi kurtarıldı. Kabinlerde kalanlar için kurtarma çalışmaları devam ediyor.,https://www.sozcu.com.tr/teleferikte-mahsur-kalanlardan-87-si-kurtarildi-p39073,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/4/resimid15301284115301284jpg-_SL6P8jo1UKlp9HkIDEwKw.jpg?w=1200&h=675&mode=crop&scale=both,2024-04-13 08:01:29+03:00,sozcu
"Babasını bıçakla yaraladı, ardından intihar etti","Denizli'de aralarında çıkan tartışma sonucu babasını bıçakla yaralayan genç, ormanlık alanda ölü olarak bulundu.",https://www.sozcu.com.tr/babasini-bicakla-yaraladi-ardindan-intihar-etti-p39077,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/4/olayyeridhajpeg-_EnRAv3sZ0u1QzhhNr1jOQ.jpeg?w=1200&h=675&mode=crop&scale=both,2024-04-13 07:47:35+03:00,sozcu
THY uçağına bomba ihbarı: Acil iniş yaptı,Türk Hava Yolları'nın (THY) Varşova-İstanbul seferini yapan yolcu uçağına bomba ihbarı yapıldı. Uçak Romanya'nın başkenti Bükreş'e acil iniş yaptı. Romanya polisi uçakta arama yapıyor.,https://www.sozcu.com.tr/thy-ucaginda-bomba-panigi-acil-inis-yapti-p39053,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/1/thyjpg-JkKcLtH3P0KJHUFIcscrTQ.jpg?w=1200&h=675&mode=crop&scale=both,2024-04-13 07:40:11+03:00,sozcu
Şişli'de devrilen motosikletin sürücüsü öldü,Şişli D-100 Karayolu'nda seyir halinde olduğu sırada bariyere çarparak devrilen motosikletin sürücüsü hayatını kaybetti.,https://www.sozcu.com.tr/sisli-de-devrilen-motosikletin-surucusu-oldu-p39076,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/4/981jpg-9M62XmkYCkqmr1qTow_3qg.jpg?w=1200&h=675&mode=crop&scale=both,2024-04-13 07:33:39+03:00,sozcu
Şırnak'ta taciz iddiasıyla kamu görevlisi darp edildi,"Şırnak’ta yolda yürüyen kadına tacizde bulunduğu iddiasıyla kamu görevlisi, kalabalık grup darp edildi.",https://www.sozcu.com.tr/sirnak-ta-taciz-iddiasiyla-kamu-gorevlisi-darp-edildi-p39075,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/4/632jpg-aPE7-manNkWmdzz8Mc_y8A.jpg?w=1200&h=675&mode=crop&scale=both,2024-04-13 07:22:43+03:00,sozcu
Memlekete giden Maliye’ye 2 bin TL ödedi,Bayramda otomobiliyle memleketine gitmek için ortalama 1.600 kilometre yol yapan bir vatandaş depoyu 5 bin liraya doldurdu devlete 2 bin lira vergi ödedi.,https://www.sozcu.com.tr/memlekete-giden-maliye-ye-2-bin-tl-odedi-p39068,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/4/aa202404123425611834256113istanbulizmirotoyolundabayramtatilihareketliligisuruyorjpg-ZvBCMhg4WEu2BILevbcUcA.jpg?w=1200&h=675&mode=crop&scale=both,2024-04-13 07:17:14+03:00,sozcu
AKP’lilerin hedefinde Ali ihsan Yavuz var!,Seçim yenilgisinden AKP Genel Başkan Yardımcısı sorumlu tutuluyor. “Başarısızlığın resmi sensin” diye eleştirilen Yavuz’un istifası isteniyor.,https://www.sozcu.com.tr/akp-lilerin-hedefinde-ali-ihsan-yavuz-var-p39061,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/4/05yavuzjpg-eoLwLTD9tEaIoJc_-WHNLQ.jpg?w=1200&h=675&mode=crop&scale=both,2024-04-13 07:14:24+03:00,sozcu
Güneş Tutulması etkileri devam ediyor.. 2025 Temmuz'a kadar ortalık toz duman!,2024’ün en önemli görünümü olan ve 4 yılı aşkın süre sarsıcı kolektif etkiler yaratacak tam Güneş tutulmasına geçtiğimiz haftanın devamı olarak yer vermek istiyorum.,https://www.sozcu.com.tr/gunes-tutulmasi-etkileri-devam-ediyor-2025-temmuz-a-kadar-ortalik-toz-duman-p39065,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/4/gunestutulmasi2jpg-LzZeeTl6ekeB7-V4nYVkrA.jpg?w=1200&h=675&mode=crop&scale=both,2024-04-13 07:00:05+03:00,sozcu
"Ege Denizi'nde 4,5 büyüklüğünde deprem","Ege Denizi'nde 4,5 büyüklüğünde deprem meydana geldi.",https://www.sozcu.com.tr/ege-denizi-nde-4-5-buyuklugunde-deprem-p39074,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/4/depremgrafikjpg-Uo7yTiKnaEqKWJiKxKZoNQ.jpg?w=1200&h=675&mode=crop&scale=both,2024-04-13 06:54:05+03:00,sozcu
Bütün şehirler yürüyebilir Ardahan'ın koşması lazım,Ardahan’da ikinci kez belediye başkanı seçilen CHP’li Faruk Demir kentin 32 yıl kaderine terk edildiğini söyledi. Beş yılda yapacağı hizmetleri bu cümleyle özetledi...,https://www.sozcu.com.tr/butun-sehirler-yuruyebilir-ardahan-in-kosmasi-lazim-p39050,https://sozcu01.sozcucdn.com/sozcu/production/uploads/images/2024/4/11ardahan6jpg-GfyjGQGT3USh9o69p9RgpQ.jpg?w=1200&h=675&mode=crop&scale=both,2024-04-13 06:13:03+03:00,sozcu
