title,r1,r2,r3,r4,r5
Diyarbakır’da iki grup arasında bıçaklı kavga: 2 yaralı,1,1,3,2,4
THY uçağına bomba ihbarı asılsız çıktı,2,3,2,2,1
Survivor All Star'da yumruk yumruğa kavga! Acun Ilıcalı görüntüleri sansürledi... Yunus Emre ve Ogeday diskalifiye mi olacak?,5,5,4,5,5
Meteoroloji açıkladı: 13 Nisan 2024 hava durumu raporu... Bugün hava nasıl olacak?,5,4,4,4,1
Bakan Yerlikaya duyurdu: 'Çember-17' operasyonunda 2 bin 756 firari yakalandı,1,3,2,1,1
Sakarya’da su kanalında erkek cesedi bulundu,1,2,1,1,3
İtalyan moda tasarımcısı Roberto Cavalli hayatını kaybetti,1,1,1,1,1
Teleferik faciasında AFAD ve Antalya Valiliği son durumu paylaştı: Bakan Yerlikaya'dan yeni açıklama,2,3,4,3,2
Kütahya’da tefecilik yaptığı iddia edilen şahıs tutuklandı,1,3,3,1,2
Şırnak'ta 'taciz' iddiasıyla uzman çavuş darbedildi: Valilikten 'soruşturma' açıklaması,2,5,2,1,2
AKP'li başkanın çalışanı bıçaklandı: CHP'li adayın eşi gözaltında,1,5,5,1,5
Görür: Erken uyarı sistemi işe yaramaz,2,4,5,2,3
"Yer: Denizli... Babasını bıçakla yaraladı, ardından intihar etti",1,4,5,2,3
Kadıköy'de park halindeki 2 otomobil alev alev yandı,1,1,1,2,4
Şişli D-100'de feci kaza: Bariyere çarparak devrilen motosikletin sürücüsü hayatını kaybetti!,1,3,1,1,3
Ege Denizi'nde 4.5 büyüklüğünde deprem!,1,1,4,3,2
Türkiye’de yıllık satış tahmini 40 milyon adet: 20 milyarlık aksesuvar,4,5,3,5,5
Tuzluca’da ‘iradesi gasp edilen’ halk sokağa indi,2,3,2,3,1
Telegram gruplarında ticari amaçla kullanılıyor: Kimlik bilgileri satışta,4,5,5,4,4
"Türkiye’de şüpheli kadın ölümleri hızla artıyor, dosyalar aceleyle kapatılıyor",1,3,1,3,3
Kapısında jandarma ile hastanede tedavi gören emekli Orgeneral Doğan’ın ailesinden kritik açıklama: 'Yaşamı pamuk ipliğine bağlı',4,4,3,3,4
11 yaşındaki Rabia Naz’ın şüpheli ölümünün üzerinden altı yıl geçti: 'Katiller bulunamadı',1,2,1,2,1
CHP’nin Manisa başarısının mimarlarından Balaban ve Durbay: 'İnsan odaklı çalışacağız',1,2,2,2,1
"Erzincan İliç’teki maden faciasının ikinci ayı geride kaldı, yargılama süreci tartışmalı: Sekiz işçi hâlâ kayıp",2,2,1,2,1
AKP’li belediyeden engelli çalışana ‘mobbing',3,5,3,2,2
İYİ Parti’nin olağanüstü kurultayı öncesi adayların ‘teşkilat değişir’ kaygısı,2,4,1,3,1
Fenerbahçe'de yıldızların sahalardan uzak kalışı yeni bir tartışmayı başlattı,4,3,4,4,5
İngilizlerin beş çayı tercihi yine Sultani,4,3,2,3,1
Kaygılı bekleyiş sürüyor... İsrail’e İHA ve füze ile misilleme yapılacak iddiası,2,5,2,2,3
Survivor'a bu sözler ile veda etti: 'Ölüm gibi bir şey oldu ama kimse ölmedi',5,5,5,4,4
İstanbulspor: 'Batan gemiyi terk etmeler başladı',2,4,2,3,4
ABD Başkanı Joe Biden'den İran'a son uyarı: 'İsrail'i savunmaya hazırız',2,3,4,1,4
Antalya'da teleferik kabini düştü: 1 yurttaş hayatını kaybetti,1,1,1,1,3
Son Dakika: THY Varşova-İstanbul seferli uçakta bomba ihbarı: Uçak acil iniş yaptı!,3,5,4,1,3
NASA tanıtmıştı! Ziyaretçi akınına uğradı: İstanbul'a 7 saat uzaklıkta...,5,5,5,5,4
Hizbullah İsrail'e hava saldırısı düzenledi: İsrail'den açıklama geldi!,5,3,4,2,2
"CHP Genel Başkanı Özel, teleferik kazasının araştırılması için Antalya'ya heyet gönderdi",1,2,1,1,2
Antalya'daki teleferik faciasının ardından Muhittin Böcek'ten ilk açıklama!,3,3,3,5,3
Ferdi Tayfur'dan kızı Tuğçe Tayfur'a sert çıkış!,4,4,5,5,4
Bağcılar’da gecekondu alev topuna döndü,2,4,2,1,2
"Fenerbahçe Alagöz Holding, EuroLeague'de finale yükseldi",1,2,1,1,1
"Novak Djokovic, Monte Carlo'da yarı finalde",1,1,2,2,1
Kahramanmaraş’ta Starbucks’a taşlı silahlı saldırı: 1 yaralı,1,4,2,1,2
Meral Akşener’den YSK’ya tepki: ‘Hırsızların masasına haram olarak sundu’,2,4,4,1,2
İsrail ordusu gazetecilere saldırdı! Yaralılar arasında TRT ekibi de var,2,5,3,1,3
Ülkelerden peş peşe 'İsrail-İran' uyarısı!,3,4,3,3,3
Otomobil tarlaya uçtu: 18 yaşındaki genç hayatını kaybetti,1,4,4,1,3
15 milyon ağaçla üretim yapılıyor: AB Komisyonu kayıt altına aldı,3,5,2,4,2
Üsküdar vapurunda yolcular arasında biber gazlı kavga: Ortalık bir anda karıştı,3,2,2,3,4
VakıfBank kazandı sezonu üçüncü tamamladı,1,2,2,2,2
Del Piero'dan Kenan Yıldız'a övgü: 10 numarayı ona verirdim,2,3,4,2,5
Antalya'daki teleferik kazası için soruşturma başlatıldı,1,2,2,1,1
Yunanistan: Türkiye'yle sorunları bir gecede çözeceğimize inanmıyoruz,1,3,3,2,3
"Bugün toplu taşıma ücretsiz mi, bitti mi? 13 Nisan metro, metrobüs, marmaray...",5,5,5,5,1
Tayland'da siyasetçi eşini evlatlık edindiği keşişle bastı,2,3,4,1,4
"NASA, Ay'ın önünden gizemli bir cismin geçtiğini görüntüledi",3,4,3,2,4
"Optik İllüzyon: Kamuflajı aşın, saklı kurbağayı şıp diye bulun",5,5,5,3,4
Anadolu Otoyolu'nda emniyet şeridini kullanan araçlara rekor ceza,4,5,3,5,4
"Yunanistan Başbakanı Miçotakis: Ada sakinleri, Türk turistler geldiği için çok sevinçli",1,4,3,1,3
2024 Skoda Octavia seri üretime girdi: İşte özellikleri,4,3,5,5,2
"İran, İsrail saldırısına karşı 100'den fazla seyir füzesi hazırladı",1,3,4,1,4
BMW'den 5 yıllık plan: 40 yeni model piyasaya sürecek,1,3,4,2,2
Xiaomi SU7 ilk kazasını Mercedes-Benz ile yaptı,1,4,3,1,3
Survivor All Star'da eleme heyecanı: Bir kişi daha gitti...,5,5,5,5,5
"Aston Martin, içten yanmalı motorlu araçlar üretmeye devam edecek",1,1,1,1,2
Türkiye'de satılan her 10 araçtan 9'u otomatik vites,1,1,2,1,2
81 ilde Çember operasyonu! Ali Yerlikaya 2 bin 756 firarinin yakalandığını açıkladı,1,3,2,1,1
Türkiye'nin yaptırım kararı İsrailli iş adamlarında panik yarattı,3,3,5,2,4
Denizli'de babasını bıçaklayan genç ölü olarak bulundu,1,4,4,1,3
THY uçağında bomba ihbarı: Bükreş'e zorunlu iniş yapıldı,2,5,2,1,4
"Antalya'da teleferik kazası: 1 ölü, 10 yaralı",1,1,2,1,3
"Rusya, kıtalararası balistik füzesini test etti",1,3,4,1,4
Avrupa Ligi'nde play-in ve play-off eşleşmeleri belirlendi,3,4,4,3,1
Bülent Uygun: Çok zor maçlarımız var,2,3,4,2,2
Abdullah Avcı: Çok yumuşak bir takımız,2,4,3,2,1
Joe Biden: İran'ın İsrail'e er ya da geç saldırmasını bekliyoruz,2,4,2,1,4
"Vakıfbank, Türk Hava Yolları'nı yenerek sezonu 3. bitirdi",1,1,2,1,1
"Fenerbahçe, ÇBK Mersin'i yenerek finale yükseldi",1,2,1,1,1
Trabzonspor sahasında 3 puanı kaptırdı: Sivasspor'a yenildi,1,2,2,1,1
Diyarbakır’da otomobil ile kamyonet çarpıştı: 3'ü çocuk 13 yaralı,1,3,2,1,3
Yunan adalarına Türk turist akını: 20 bin kişi gitti,3,2,4,1,1
Şırnak'ta 2 gün 2 gecelik aşiret düğününde 2 milyon liralık takı,2,4,5,1,4
YSK duyurdu! 20 ilçe ve 1 beldedeki seçim itirazı reddedildi,1,5,1,2,3
Çankırı'da boşanma aşamasındaki eşini pompalı tüfekle öldürdü,1,3,4,2,2
Tayvan görevi tamam! Türk İHA ekibi Türkiye'ye doğru yola çıktı,1,3,2,5,2
Sakarya'da yazlık sitedeki dairede 2 ceset bulundu,1,4,2,2,4
Üsküdar vapurunda yolcular arasında biber gazlı kavga: Ortalık karıştı,4,4,2,3,2
"Peynir ve yoğurttan önce o vardı! Kalsiyum fışkırıyor, yiyen 100 yaşını garantiliyor...",5,5,5,5,5
Balıkesir'den İzmir'e çalıntı araçla gelen 2 çocuk yakalandı,1,4,3,1,4
"ABD füze gemisi, İsrail açıklarına demirledi",1,3,2,1,2
"Güney Kore ve ABD, yapay zeka için güçlerini birleştirdi",4,4,2,4,3
Sivas'ta yakıt kaçağını çakmakla kontrol etti! Motosiklet kullanılmaz hale geldi,4,4,4,2,2
Avrupa Birliği'nden Mısır'a kredi: 5 milyar euro verecekler,1,4,2,1,1
Kars'ta karın erimesiyle birlikte doğa canlandı,3,2,3,2,1
İzmir ve Muğla sahillerinde bayram yoğunluğu! Akın ettiler,5,4,4,4,1
Manisa'da sezonun ilk kiraz hasadı yapıldı! Kilosu 2 bin liradan satıldı,1,3,4,1,4
"YSK, İyi Parti'nin Ordu itirazını reddetti",1,4,2,1,1
NASA tarihinde bir ilk: Japon astronot Ay'a gidiyor,3,3,2,1,3
"Cumhurbaşkanı Erdoğan, Filistinli mevkidaşı Mahmud Abbas'la görüştü",3,3,4,2,3
MHP'de yeni MYK pazartesi günü toplanacak,1,4,1,1,1
Ben Bu Cihana Sığmazam’da Cezayir'in husumetlisi geliyor! TRT1'de kasırgalar çıkarmıştı,5,5,5,5,5
Moda ikonu Roberto Cavalli hayatını kaybetti,1,2,1,1,1
Teşkilat ve Kurtlar Vadisi'nden Marnalı'ya ses getiren transfer! Ali Reşat rolünü kaptı,4,5,4,5,4
